filename,title,author,pubLocation,pubDate,mainGenre,element
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Or Haen Soph
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,SephirÃ_
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Parzuphim
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Klippoth
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,ex-officio
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,banditti
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,quo warranto
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,seire facias
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,in perpetuum
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,ex officio
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,bona fide
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Mulier est hominis confusio
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Aut amat aut odit non est in tertio
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,In nullo tertio
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,In principio
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Malum malo additum efficit malum peius
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,ex confessio
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Contra principium non est disputand um
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Primum est optimum
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Non plus
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Experientia praestantior arte
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Mentiri non est nostrum
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Nulla fides hominibus
anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction,Fallere fallentem non est fraus
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,Divisio
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,Eva reclusa
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,ad Paulum Pontificem
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,ad regem Henricum
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,Corpus Christi
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,de corpore & sanguine domini
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,de Eucharistia
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,Contra doctrices mulieres
askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction,ex opere operato
astell.marriage.xml,"Reflections Upon Marriage, 1706","Astell, Mary",London,1706,G.non-fiction,Arcana Imperii
augustine.virgin.xml,"The History of the Angelical Virgin Glorious S. Clare (Introductory Material), 1635","Augustine, Sister Magdalen",Douai,1635,G.non-fiction,memoriam mirabilium
augustine.virgin.xml,"The History of the Angelical Virgin Glorious S. Clare (Introductory Material), 1635","Augustine, Sister Magdalen",Douai,1635,G.non-fiction,Symbolum Apostolorum
bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction,vagum indiuiduum
bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction,Î±Î¸ÎµÎ¿Ï‚
bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction,Ï„Î·Ïƒ Î¿ÏÅÎ¸Î¿Î´Î¿Î¶Î¯Î±Ïƒ Ï€ÏÅÎ¿Î´Ï‡Î®Î_Î±Ï„Î_
bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction,ÎùÎ_Î± ÎºÎ±Î_ Î¶Î_Ï…Î·
bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction,ÎµÎ¸Î· Î±ÏÅÏ‡Î±Î_Î± ÎºÏÅÎ±Ï„ÎµÎ¯Ï„Ï…
bacon.sermonelec.xml,"Sermons of Barnardine Ochine, 1570","Bacon, Ann (Cooke)",London,1570,G.non-fiction.other,Sancta Sanctorum
barbauld.govtsins.xml,"Sins of Government, Sins of the Nation, 1793","Barbauld, Anna Laetitia (Aikin)",London,1793,G.non-fiction,pars minima sui
barbauld.legacy.xml,"A Legacy for Young Ladies, 1826","Barbauld, Anna Laetitia (Aikin)",London,1826,G.fiction,la belle Nature
barbauld.legacy.xml,"A Legacy for Young Ladies, 1826","Barbauld, Anna Laetitia (Aikin)",London,1826,G.fiction,beau ideal
barbauld.legacy.xml,"A Legacy for Young Ladies, 1826","Barbauld, Anna Laetitia (Aikin)",London,1826,G.fiction,Adieu
barbauld.works1.xml,"The Works of Anna Laetitia Barbauld, 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.verse,jeu-d'esprit
barbauld.works1.xml,"The Works of Anna Laetitia Barbauld, 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.verse,alma mater
barbauld.works1.xml,"The Works of Anna Laetitia Barbauld, 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.verse,Precieuses
barbauld.works1.xml,"The Works of Anna Laetitia Barbauld, 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.verse,Femmes sÃ§avantes
