filename,title,author,pubLocation,pubDate,mainGenre,elementOriginal,element
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Sanhedrim,Sanhedrim
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,sanhedrim,sanhedrim
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Congress,Congress
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,National Institute,National Institute
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,council of Elvira,council of Elvira
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,university of Paris,university of Paris
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,church of England,Church of England
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Marine Society,Marine Society
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Royal Humane Society,Royal Humane Society
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Congress of the United States,Congress of the United States
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,university of Frankfort,university of Frankfort
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,university of Salamanca,university of Salamanca
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,university of Cambridge,University of Cambridge
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,parliament,Parliament
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,university of Prague,university of Prague
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Constituent Assembly,Constituent Assembly
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Harvard University,Harvard University
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,college of New York,college of New York
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Palestine Association,Palestine Association
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Missionary Society,Missionary Society
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,London Society,London Society
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Bible Society,Bible Society
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,college of Fort William,college of Fort William
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,sanhedrims,sanhedrims
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,Jewish Assembly,Jewish Assembly
adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction,London society,London society
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,Massachusetts Historical Society,Massachusetts Historical Society
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,Historical Society,Historical Society
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,Congress,Congress
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,continental congress,continental congress
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,British parliament,British Parliament
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,second continental congress,second continental congress
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,church of England,Church of England
adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction,Virginia company,Virginia company
