tr,filename,title,author,pubLocation,pubDate,mainGenre
TR00128,adams.jews.xml,"The History of the Jews, 1812","Adams, Hannah",Boston,1812,G.non-fiction
TR00200,adams.newengland.xml,"A Summary History of New-England, 1799","Adams, Hannah",Dedham,1799,G.non-fiction
TR00002,aikin.epistles.xml,"Epistles on Women, 1810","Aikin, Lucy",London,1810,G.verse
TR00003,anger.protection.xml,"Jane Anger Her Protection for Women, 1589","Anger, Jane",London,1589,G.non-fiction
TR00426,ariadne.venture.xml,"She Ventures, and He Wins, 1696",Ariadne,London,1696,G.drama
TR00286,askew.first.xml,"The First Examination of Anne Askew, 1546","Askew, Anne",Marpurg,1546,G.non-fiction
TR00010,askew.fox.xml,"The Two Examinations of Anne Askew (Foxe), 1563","Askew, Anne",London,1563,G.non-fiction
TR00287,askew.lattre.xml,"The Latter Examination of Anne Askew, 1547","Askew, Anne",Marpurg,1547,G.non-fiction
TR00465,astell.marriage.xml,"Reflections Upon Marriage, 1706","Astell, Mary",London,1706,G.non-fiction
TR00462,astell.proposal.xml,"A Serious Proposal to the Ladies, 1694","Astell, Mary",London,1694,G.non-fiction
TR00490,augustine.virgin.xml,"The History of the Angelical Virgin Glorious S. Clare (Introductory Material), 1635","Augustine, Sister Magdalen",Douai,1635,G.non-fiction
TR00439,bacon.apologie.xml,"An Apology or Answer in Defence of the Church of England, 1564","Bacon, Ann (Cooke)",London,1564,G.non-fiction
TR00485,bacon.sermonelec.xml,"Sermons of Barnardine Ochine, 1570","Bacon, Ann (Cooke)",London,1570,G.non-fiction.other
TR00484,bacon.sermons.xml,"Sermons of Barnardine Ochine of Sena, Translator's Preface, 1548","Bacon, Ann (Cooke)",London,1548,G.non-fiction
TR00077,bannerman.poems.xml,"Poems, 1800","Bannerman, Anne",Edinburgh,1800,G.verse
TR00082,barbauld.govtsins.xml,"Sins of Government, Sins of the Nation, 1793","Barbauld, Anna Laetitia (Aikin)",London,1793,G.non-fiction
TR00078,barbauld.legacy.xml,"A Legacy for Young Ladies, 1826","Barbauld, Anna Laetitia (Aikin)",London,1826,G.fiction
TR00076,barbauld.poems.xml,"Poems, 1773","Barbauld, Anna Laetitia (Aikin)",London,1773,G.verse
TR00081,barbauld.reasons.xml,"Reasons for National Penitence, 1794","Barbauld, Anna Laetitia (Aikin)",London,1794,G.non-fiction
TR00283,barbauld.works1.xml,"The Works of Anna Laetitia Barbauld, 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.verse
TR00283.02,barbauld.works2.xml,"The Works of Anna Laetitia Barbauld (vol. 2), 1826","Barbauld, Anna Laetitia (Aikin)",Boston,1826,G.non-fiction
TR00239,barber.poems.xml,"Poems on Several Occasions, 1734","Barber, Mary",London,1734,G.verse
TR00084,barker.lining.xml,"The Lining of the Patch Work Screen, 1726","Barker, Jane",London,1726,G.fiction.other
TR00290,barker.love.xml,"Love Intrigues: or, The History of the Amours of Bosvil and Galesia, 1713","Barker, Jane",London,1713,G.fiction
TR00285,barker.patchwork.xml,"A Patch-Work Screen for the Ladies, 1723","Barker, Jane",London,1723,G.fiction
TR00240,barker.recreations.xml,"Poetical Recreations, 1688","Barker, Jane",London,1688,G.verse.lyric
TR00086,bath.poems.xml,"Poems on Various Occasions, 1806","Bath, Elizabeth",London,1806,G.verse
TR00241,behn.amorous.xml,"The Amorous Prince, or, the Curious Husband, 1671","Behn, Aphra",London,1671,G.drama.prose
TR00087,behn.discovery.xml,"A Discovery of New Worlds, Translator's Preface, 1688","Behn, Aphra",London,1688,G.non-fiction
TR00598,behn.emperor.xml,"The Emperor of the Moon, 1688","Behn, Aphra",London,1688,G.drama
TR00262,behn.happycoronation.xml,"A Pindaric Poem, 1685","Behn, Aphra",London,1685,G.verse
TR00415,behn.loverwatch.xml,"La Montre: or The Lover‰Ûªs Watch, 1686","Behn, Aphra",London,1686,G.fiction
TR00248,behn.miscellany.xml,"Miscellany, Being a Collection of Poems by Several Hands. Together with Reflections on Morality, or Seneca Unmasked, 1685","Behn, Aphra",London,1685,G.verse
TR00845,behn.nun.xml,"History of the Nun, 1689","Behn, Aphra",London,1689,G.fiction
TR00599,behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama
TR00460,behn.pindaric.xml,"A Pindaric Poem to the Reverend Doctor Burnet, 1689","Behn, Aphra",London,1689,G.verse
TR00246,behn.poems-love.xml,"Poems Upon Several Occasions, with a Voyage to the Island of Love, 1684","Behn, Aphra",London,1684,G.verse
TR00604,behn.widow.xml,"The Widow Ranter, 1690","Behn, Aphra",London,1690,G.drama
TR00249,benger.geniad.xml,"The Female Geniad, 1791","Benger, Elizabeth Ogilvy",London,1791,G.verse
TR00473,biddle.trumpet.xml,"The Trumpet of the Lord Sounded Forth Unto These Three Nations, 1662","Biddle, Hester",London,1662,G.non-fiction
TR00432,biddle.warlord.xml,"A Warning from the Lord God, 1660","Biddle, Hester",London,1660,G.non-fiction
TR00486,boothby.marcelia.xml,"Marcelia: or the Treacherous Friend, 1670","Boothby, Frances",London,1670,G.drama
TR00601,bowdler.poemessays.xml,"Poems and Essays, 1786","Bowdler, Jane",Bath,1786,G.non-fiction
TR00445,boyd.variety.xml,"Variety: A Poem, 1727","Boyd, Elizabeth",London,1727,G.verse
TR00509,bradstreet.several.xml,"Several Poems, 1678","Bradstreet, Anne (Dudley)",Boston,1678,G.verse
TR00088,bradstreet.tenthmuse.xml,"The Tenth Muse, 1650","Bradstreet, Anne (Dudley)",London,1650,G.verse
TR00233.00,brooke.emily.xml,"The History of Emily Montague, 1769","Brooke, Frances (Moore)",London,1769,G.fiction
TR00589,brooks.idomen.xml,"Idomen, or the Vale of Yumuri, 1843","Brooks, Maria (Gowen)",New York,1843,G.verse
TR00591,brooks.zophiel1825.xml,"ZÌ_phiÌÇl, a Poem, 1825","Brooks, Maria (Gowen)",Boston,1825,G.verse
TR00590,brooks.zophiel1834.xml,"ZÌ_phiÌÇl; or, the Bride of Seven, 1834","Brooks, Maria (Gowen)",Boston,1834,G.verse
TR00089,bryan.sonnets.xml,"Sonnets and Metrical Tales, 1815","Bryan, Mary",Bristol,1815,G.verse
TR00230,bullard.reformation.xml,"The Reformation, 1832","Bullard, Anne Tuttle Jones",Boston,1832,G.fiction.other
TR00691,burch.catechism.xml,"A Catechism of the Several Heads of Christian Religion, 1646","Burch, Dorothy",London,1646,G.non-fiction
TR00091,campbell.poems.xml,"Poems, 1816","Campbell, Dorothea Primrose",London,1816,G.verse
TR00092,candler.poetical.xml,"Poetical Attempts, 1803","Candler, Ann (More)",Ipswich,1803,G.verse
TR00487,carleton.case.xml,"The Case of Madam Mary Carleton, 1663","Carleton, Mary",London,1663,G.non-fiction
TR00093,carter.poems.xml,"Poems on Several Occasions, 1816","Carter, Elizabeth",London,1816,G.verse.lyric
TR00298,cartwright.jewes.xml,"The Petition of the Jews, 1649","Cartwright, Joanna",London,1649,G.non-fiction
TR00406,cary-e.edoct.xml,"The History of the Most Unfortunate Prince King Edward II, 1680","Cary, Elizabeth (Tanfield), Viscountess Falkland",London,1680,G.non-fiction
TR00381,cary-e.history.xml,"The History of the Life, Reign, and Death of Edward II, 1680","Cary, Elizabeth (Tanfield), Viscountess Falkland",London,1680,G.non-fiction
TR00250,cary-e.mariam.xml,"The Tragedie of Mariam, 1613","Cary, Elizabeth (Tanfield), Viscountess Falkland",London,1613,G.drama
TR00470,cary-m.doom.xml,"The Little Horns Doom and Downfall, and A New and More Exact Map, 1651","Cary, Mary",London,1651,G.non-fiction
TR00094,cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse
TR00325,cavendish.62a-struct.xml,"Plays (prefatory and concluding matter), 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.non-fiction
TR00325.02,cavendish.62b-loves.xml,"Loves Adventures, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.03,cavendish.62c-several.xml,"The Several Wits, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.04,cavendish.62d-youths.xml,"Youths Glory, and Deaths Banquet, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.05,cavendish.62e-lady.xml,"The Lady Contemplation, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.06,cavendish.62f-wits.xml,"Wits Cabal, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.07,cavendish.62g-unnatural.xml,"The Unnatural Tragedy, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.08,cavendish.62h-public.xml,"The Public Wooing, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.09,cavendish.62i-matrimonial.xml,"The Matrimonial Trouble, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.10,cavendish.62j-natures.xml,"Nature's Three Daughters, Beauty, Love and Wit, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.11,cavendish.62k-religious.xml,"The Religious, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.12,cavendish.62l-hash.xml,"The Comical Hash, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.13,cavendish.62m-bell.xml,"Bell in Campo, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.14,cavendish.62n-apocriphal.xml,"A Comedy of the Apocryphal Ladies, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00325.15,cavendish.62o-female.xml,"The Female Academy, 1662","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1662,G.drama
TR00326,cavendish.68a-struct.xml,"Plays Never Before Printed (preliminary matter), 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.non-fiction
TR00326.02,cavendish.68b-sociable.xml,"The Sociable Companions, or the Female Wits, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.drama
TR00326.03,cavendish.68c-presence.xml,"The Presence, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.drama
TR00326.04,cavendish.68d-bridals.xml,"The Bridals, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.drama
TR00326.05,cavendish.68e-convent.xml,"The Convent of Pleasure, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.drama
TR00326.06,cavendish.68f-piece.xml,"A Piece of a Play, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.drama
TR00253,cavendish.blazing.xml,"The Description of a New World, Called the Blazing-World, 1668","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1668,G.fiction
TR00251,cavendish.fancies.xml,"Poems and Fancies, 1653","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1653,G.verse
TR00429,cavendish.natpix.xml,"Natures Pictures, 1656","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1656,G.fiction
TR00441.01,cavendish.observations.xml,"Observations upon Experimental Philosophy, 1666","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1666,G.non-fiction
TR00252,cavendish.olio.xml,"The World's Olio, 1655","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1655,G.non-fiction
TR00369,cavendish.philosophical.xml,"Philosophical Letters, 1664","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1664,G.non-fiction.letter
TR00436,cavendish.william.xml,"The Life of William Cavendish, 1667","Cavendish, Margaret (Lucas), Duchess of Newcastle",London,1667,G.non-fiction
TR00475,cellier.maldef.xml,"Malice Defeated, 1680","Cellier, Elizabeth (Dormer)",London,1680,G.non-fiction
