filename,title,author,pubLocation,pubDate,mainGenre,element
behn.emperor.xml,"The Emperor of the Moon, 1688","Behn, Aphra",London,1688,G.drama,Brokad de or
behn.emperor.xml,"The Emperor of the Moon, 1688","Behn, Aphra",London,1688,G.drama,Vice-Reigne
behn.nun.xml,"History of the Nun, 1689","Behn, Aphra",London,1689,G.fiction,Spahee
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Ton d'apamibominus Prosiphe Podis Ochus Achilleus
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Philosophemur
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Scavantissimi Doctores
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Creat Crandfather Hadam
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Creat Crandmother Heeve
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Happell
behn.patient.xml,"Sir Patient Fancy, 1678","Behn, Aphra",London,1678,G.drama,Ick quam Van Neder Landt te spreken End helpen Van Pocken end ander gebreken
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,reedle
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,deelicate
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,deelicacy
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,deevil
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,meenute
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,aboot
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,deevil's
cassan.poems.xml,"Poems, 1806","Cassan, Sarah (Mears)",London,1806,G.verse,mooth
clark.esquimaux01.xml,"The Esquimaux; or, Fidelity (vol. 1), 1819","Clark, Emily Frederick",London,1819,,tout ensemble
clark.esquimaux01.xml,"The Esquimaux; or, Fidelity (vol. 1), 1819","Clark, Emily Frederick",London,1819,,ma chere
